id,createdAt,campaignId,sender,message,stageId,input,dateInput,submitted,approved,feedback,decision
8198,2024-11-19T05:24:59.336Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,Milanote,"Approved Draft Script With Feedback:
Hey shar, 

The script looks great and brings out Milanote's value really well - great work!

I am happy to approve this and for you to go ahead and start filming. Here are some reminders on screen-recordings so that we can make sure that minimal to no edits are required on the video: 

- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Thanks for the fantastic work so far and I can't wait to see this come to life soon!! 

Best, 
Himika",4,"[hi Himika/Milanote team! :) if you need additional context for this script, here's the link to the rest of it! https://docs.google.com/document/d/1iPkTNT1tEiEC1lM-q95FiMJlXcbSd0g3qo3DbdXZFkQ/edit?usp=sharing]

==

So I brainstormed with Milanote – who also happens to be the sponsor for this video (ohh sponsor jumpscare)! I’ve actually used this tool before for college, mainly for its easy-to-use flowchart system and the fact that you can share your boards with friends. So yeah, I planned out the main algorithm for my thesis with my thesis partner in Milanote, and I also apparently also used it for my internship at some point?? These memories escape me…

Milanote is a tool for organizing creative projects, and it’s absolutely a tool for people whose train of thought is on the messy side (perfect for me), because it’s essentially a board you can pin sticky notes and other stuff like images, videos, etc, onto. You can even put boards in boards, so you can organize your messy train of thought recursively. It kind of feels like a desktop with folders and icons, if that makes any sense.

I used Milanote for planning mainly three things: the visual direction and moodboard, the different windows and features, and the main functions I’ll be using when I start programming it. I already had a general idea of what I wanted so I just kept tacking on sticky notes or doodling over said sticky notes whenever I had a new idea. It was really satisfying placing them on the grid and rearranging things to fit what I was thinking at that time.

There are also a bunch of pre-made templates to choose from for different types of projects. I personally think it’s a really good tool if you’re planning to start work on a game or other creative project, especially if you struggle a bit with regular note apps.

Milanote is free and has no time-limit, so if you’re interested in trying it out, feel free to check out the link in the description to sign up!",,True,True,"Hey shar, 

The script looks great and brings out Milanote's value really well - great work!

I am happy to approve this and for you to go ahead and start filming. Here are some reminders on screen-recordings so that we can make sure that minimal to no edits are required on the video: 

- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Thanks for the fantastic work so far and I can't wait to see this come to life soon!! 

Best, 
Himika",1
9125,2024-12-04T12:48:07.150Z,02290ff7-7b71-4357-ac22-ccf8206096c1,Milanote,"Approved Draft Script With Feedback:
Hey Phoebe, 

Really amazing work on the script!! I am really impressed and happy to approve it :) 

Feel free to get started on your draft video. Here are some screen recording tips to make sure no major edits are required to the draft video: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.


Thanks for the fantastic work so far and I look forward to reviewing the draft video soon :) 


Best, 
Himika",4,"To plan this project, I have been using Milanote, a tool for organising and planning creative projects. Using MIlanote for my jinx doll has been such an asset in the creative process as its designed to act as a visual mood board. Allowing me to catalogue my web links, reference images, colour swatches, notes and much more. 

On the front page of my jinx board, I’ve included the Arcane 3D model sculpted by Tebalt Grannet, along with quick links to his portfolio on ArtStation which has the original model along with various renderings. With everything linked on the board, I can access his high-res work instantly without keeping tabs open all day—a huge convenience!

Milanote lets you organize your ideas the way you think. I'm quite a visual thinker, I tended to save reference images to a photodump, writing illegibly in notebooks and sticking papers to the wall. so being able to Drag and drop, cluster or stack elements brings clarity to an otherwise chaotic workflow.

One of the internal boards I created was the Design board, that ill use for sculpting and painting. I’ve layered the reference images for Jinx’s animation rigs, alongside my guideline sketches that I use when sculpting. 

Also on this board is everything I need for the painting stage—I have the preferred reference images, paired with my itemised list of paints, my painting guide, as well as fleeting notes that I want to remember. I'm also able to sketch directly onto the board for visual reminders like this [show], and add elements like colour swatches which you can sample directly from the board.


With such a variety of elements to use, I'm able to have that structure as well as flexibility, which is essential when organising a creative project.

Something i liked was the variety of temples to choose from, You can browse through and find the perfect fit for your project.
While the visual mood board approach works for the painting and sculpting aspect, I was able to use their craft project timeline template to create an itemised to do list and timeline.

This keeps my notes neat, while still providing that very visual way of organising. 

Milanote’s real-time collaboration feature also allows you to share boards with collaborators. So you can brainstorm together which is such valuable asset when working on creative projects.

If you would like to try milanote of yourself, you can sign up with my link in the description below, Milanote is available for free with no time limit, perfect for creating you own unique creative hub.",,True,True,"Hey Phoebe, 

Really amazing work on the script!! I am really impressed and happy to approve it :) 

Feel free to get started on your draft video. Here are some screen recording tips to make sure no major edits are required to the draft video: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.


Thanks for the fantastic work so far and I look forward to reviewing the draft video soon :) 


Best, 
Himika",1
2859,2024-07-08T00:11:36.415Z,076ca57a-ee35-43c4-8c70-ff759820f536,Milanote,"Approved Draft Script With Feedback:
Hey Viyaura, thanks so much for sharing your script! This sounds wonderful. Here are a couple of suggestion to improve your script. 
- Please mention this description in the Introduction: ""Milanote is a tool for organizing your creative projects.”
- Mention what kinds of built-in templates are available i.e. interior design, filmmaking is (you can show the visual arts templates)
- You could also mention what other future projects you hope to plan in Milanote.

Feel free to start drafting the video segment whenever you're ready. Here are our top tips for creating great screen recordings:
Tip 1: Seeing Milanote in action - When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
Tip 2: Get interactive with your boards - Show us how you build your boards on screen. Whether it's adding arrows, notes, or color swatches, walk us through your process for brainstorming ideas inside Milanote. (Here's a trick, hide some images into the unsorted column and drag it out into your board)
Tip 3: Let's see the full picture - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. Here is a great screen recording example from creators Tofugoob https://www.youtube.com/watch?v=pFWF9BF9r_I&t=201s and Sketchesofshay: https://www.youtube.com/watch?v=pFWF9BF9r_I&t=201s
For more helpful insights, be sure to check out the creative brief.
Looking forward to seeing the draft video soon! Many thanks, Bella",4,"Milanote Integration: (~2 minutes)

Moodboarding is another great way to conceptualize and visually organize what you want your art style to encompass
A great tool to organize your references or inspiration is on Milanote
I have my main project board here, and a few sub-boards with specific character design or brushes
A lot of my inspiration comes from Pinterest, and what I love is you can make a direct link to the site so you can easily relay back to the original artist/source
And you can see I’ve made to-do lists, small notes, headers. You can even draw/make small sketches 
They also have built-in templates if organization isn’t your forte 
Although I use Milanote for solo projects, you can easily collaborate and share your work on Milanote by inviting others to leave feedback
CTA “so definitely try out milanote– it's available for free with no time limit. So check it out using the link in the description and start your next creative project”",,True,True,"Hey Viyaura, thanks so much for sharing your script! This sounds wonderful. Here are a couple of suggestion to improve your script. 
- Please mention this description in the Introduction: ""Milanote is a tool for organizing your creative projects.”
- Mention what kinds of built-in templates are available i.e. interior design, filmmaking is (you can show the visual arts templates)
- You could also mention what other future projects you hope to plan in Milanote.

Feel free to start drafting the video segment whenever you're ready. Here are our top tips for creating great screen recordings:
Tip 1: Seeing Milanote in action - When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
Tip 2: Get interactive with your boards - Show us how you build your boards on screen. Whether it's adding arrows, notes, or color swatches, walk us through your process for brainstorming ideas inside Milanote. (Here's a trick, hide some images into the unsorted column and drag it out into your board)
Tip 3: Let's see the full picture - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. Here is a great screen recording example from creators Tofugoob https://www.youtube.com/watch?v=pFWF9BF9r_I&t=201s and Sketchesofshay: https://www.youtube.com/watch?v=pFWF9BF9r_I&t=201s
For more helpful insights, be sure to check out the creative brief.
Looking forward to seeing the draft video soon! Many thanks, Bella",1
7909,2024-11-13T01:21:33.783Z,0b861c57-5b19-40de-be1c-b7c9d1ff087c,Milanote,"Approved Draft Script With Feedback:
Hey Hana, 

The script is absolutely AMAZINGG!! Really really great work with bringing out Milanote's value and keeping it so authentic. Also, great job putting a CTA in the middle as well considering it is a long integration :) 

 I am happy for you to record your draft video for this. Here are some reminders on screen-recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.

Thanks for the fantastic work so far and I can't wait to see this come to life soon!!

Best, 
Himika
",4,"Part 1 Ad:
-Before we get into the nitty gritty of the rigging work though, I really want to tell you guys about the sponsor of today’s video, Milanote. We’re big fans of Milanote here, I genuinely use Milanote on all my projects now, including this VTuber model. It’s spectacular and easy, and I’m excited to show you guys how I use it. 
-So Milanote is essentially a tool you can use for organizing your creative projects. It’s convenient to use because it’s a browser tool, meaning I could access my same board from my phone or computer. What makes Milanote different from other organizational tools is the amount of fluidity and freedom you get in its unstructured workspace. My brain works in such an odd way that I naturally stray away from anything with overpacked calendars, word vomits, or numbers. Milanote feels more like a crazy little wallspace where you can pin ideas on and, even having those red strings of mystery connecting concepts. My mouse brain is very, very happy when I can be as aesthetic or messy as I want depending on the project.
-I use Milanote for practically everything now, like jotting down ideas for future projects, collecting references, and making detailed schedules for my workflow. Lucky for everyone, I don’t have to keep all my crazy ideas in my head now and explode from overthinking.
-For this VTuber project, I started out with a main board that holds all the sub-boards for certain parts of the rigging. This is sort of like the front page of everything, and it segments all my thinking into different areas of the body. I like to add little sticky notes and comments to remind myself of what I need to focus on in each stage, and even just encouraging words, cause you know we girlbossin’. I also add arrows and such to keep track of what’s next. I created this pseudo calendar using the Table element.
-As we enter our first sub-board, this holds a detailed guide on rigging the eyes. It shows exactly how things should look at each point, and I use the Drawing function to indicate what is happening during the movement. As we scroll down, you can see I’ve also included references for neat new features, should I want to add them.
Making your board is extraordinarily easy with the Template Picker tool. I just pick a template, then replace, and add or remove things as necessary.
-Okey dokey, so later on in this video, I will actually talk more in depth about how I plan out and do really dope physics, effects and animations on my VTuber model using Milanote. So, please, please look forward to that later.
-But, if you wanna try out Milanote right now, you can go ahead and sign up using my link in the description to start planning your next creative project! It’s completely free! For now, let’s get back to the video and see where our project leads us to!

Part 2 Ad:
-Okay, so this is the perfect time to pull out Milanote and really map out our plan for these next model physics. I’ve got 3 different types of physics I want to approach on this model, including accessories, ribbons, and special effects. We’re gonna use Milanote to organize our ideas, create a game plan, and really visualize how this is going to look.
-I’m going to create my main board for this, that will hold our sub-boards. I include a bunch of pretty images of accessories and animations that I love to set the tone and direction of the project. Then, I’ll write a general plan for each stage.
-For our accessory sub-board, I’ve included a check-list of things I need to do, including drawing sparkly assets, and creating the parameter motions for the effects. I’ve made a mock up of how I imagine the parameters will look like, and different techniques I’ll use to accomplish them. I also included clips of jewelry sparkling in action for inspiration. References are going to be key here as I add notes and circle things that I want to remember.
-For our ribbons sub-board, I took some screenshots of a ribbon in action to capture how it moves. Then, I use our line tool to actually map out the flow of the ribbon at each subsequent second. I plan to try to mimic this motion in the rig. So in Live2D, I capture the first curvature in one parameter, then the second curving motion in the second parameter. After messing around with the physics a bit, it looks pretty close to our reference clip, so I’m quite happy!
-For our effects sub-board, I spent a long time scouring the internet for different effects and tidbits I could add to my model, especially the arm poses. I first had to draw out each little effect, which included lots of sparkles, flowers, and more. So I included a list of what I needed to draw and different references. Then, I made mockups of the actual animation using Photoshop and included them as gifs on the board, with notes on how to achieve it as well as timing. I used the table element to map out the timing of the effects, including which frame should something appear. There’s even room for my partner to collaborate with me and add notes or comments on what should be adjusted, for example here we’ve noted that the edges of the star should lengthen before flying off. Having all this planned out beforehand saved me a ton of headaches.
-And that is how I use Milanote, a powerhouse of an organizational tool, to take my creative projects to the next level. And the best part about all this is that Milanote is available for free with no time limit. So again, you can sign up using my link in the description and use Milanote to plan your next creative project! I really could not recommend it enough because your ideas deserve to be out there, and not stuck in your brain with a chance of being forgotten. Thank you so, so much to Milanote for sponsoring today’s video. I could not have done this without them, so please check them out!
And now, back to the video and more physics shenanigans!",,True,True,"Hey Hana, 

The script is absolutely AMAZINGG!! Really really great work with bringing out Milanote's value and keeping it so authentic. Also, great job putting a CTA in the middle as well considering it is a long integration :) 

 I am happy for you to record your draft video for this. Here are some reminders on screen-recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.

Thanks for the fantastic work so far and I can't wait to see this come to life soon!!

Best, 
Himika
",1
2569,2024-06-27T12:40:00.504Z,0cae2449-16d8-4ff8-a0ac-976dd13818f4,Milanote,"Approved Draft Script With Feedback:
Hey Oridays, 
Wonderful job with this video! It was great to see how you discussed how you personally use Milanote and seeing how you interacted with the boards on screen. I'm happy to give you the green light on this. 
It was a pleasure collaborating with you on this project. 
Many thanks, 
Bella",4,"Hi Bella,

Thanks for approving the script along with the boards!

Here is the link to the integration:
https://drive.google.com/file/d/183BMT8KcZ5UsFRnVqBHmP_BS8sMKhUFA/view?usp=sharing

I'm hoping to have the complete video up on 30 June if everything with is okay with it.

Please let me know the CTA link etc. to use.

Best,
oridays",,True,True,"Hey Oridays, 
Wonderful job with this video! It was great to see how you discussed how you personally use Milanote and seeing how you interacted with the boards on screen. I'm happy to give you the green light on this. 
It was a pleasure collaborating with you on this project. 
Many thanks, 
Bella",1
5358,2024-09-20T15:02:17.996Z,115a0fb6-3176-4c6a-be92-653fc73c9ba4,Milanote,Approved Draft Script,4,"Script:
My brain works in wondrous and mysterious ways. Ways in which a lot of planning and organizing applications simply cannot accommodate. Which is why I’m so happy that Milanote is the sponsor of today’s video. Milanote is the perfect tool for personal preplanning and organization. It gives me, someone who has a lot of overwhelming thoughts all at once, the ability to dump everything out and manage my ideas in a more digestible way. It’s perfect for creative projects of all kinds, and even helped me with the making of today’s video. (show your board so audience has good idea of what you are referring to) Milanote makes use of Boards to help congregate and organize big ideas. For this video I was able to quickly and easily organize my main talking points by eliciting them to Sub Boards in which I could further delve into their descriptions. Milanote also makes it so easy to work with images which is great since I tend to work better visually. You can drag and drop photos or files with ease and efficiently proportion them to your liking (show example). Everything is extremely creator friendly, providing smooth and non-distractive workflow. If this is something that interests you, well you’re in luck because Milanote is available for free with absolutely no time-limit. So sign up for a free Milanote account using the link in the description.",,True,True,,1
4003,2024-08-09T13:03:30.859Z,117cfe8a-53b4-441e-b828-d57e3ce6ff3d,Milanote,"Approved Draft Script With Feedback:
Hey Monica, 

The script looks absolutely fantastic!! You have done a great job bringing forward Milanote's value and linking it to your own project. 

Feel free to get started on your draft video. Though you might already be familiar with these, here are some reminders for creating a great screen recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click in on the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Remember to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!! 

Best, Himika",4,"1. Introduction
    1. Announce that I’m creating a fall collection including apparel & accessories but I’ve had so many ideas floating in my head & it’s time to get organized over the next week.
2. Sourcing materials & inspiration
    1. B-roll & voiceover of going to fabric stores in nyc & searching through pinterest inspo
3. Discuss the planning process (Milanote section)
    1. “Creating a product launch for my small business was always super daunting, not to mention how chaotic my brain would get when I had not just one but multiple products to consider designing, making, and marketing for an entire collection launch. But this year my launches have lowkey been SO successful sales wise and also just so much less stressful on my part as I plan out the products from start to finish. I owe all the credit to a more seamless product launch experience to Milanote.”
    2. “Milanote is a free online tool for organizing your creative projects. Everything from visually mapping out your seasonal collection designs as small business owners, to planning out product launches, to just dumping a whole bunch of creative ideas in the form of images, texts, handwritten notes, you name it.”
    3. *Walk through my Milanote board for this video and describe the drag & drop features that I used including text blocks, color blocks, checklists, hand writing on designs with my iPad, etc*
    4. “In the first few years of running my business, my biggest struggle was not knowing how to organize all my creative thoughts, and I think that chaos was reflected in the lack of results I was seeing with my small business. I’m so happy I’ve found tools like Milanote that just make my life as a small business owner SO much easier and I can’t imagine creating a product launch without it anymore.
    5. “If you want to start organizing your next creative project with Milanote, you can sign up and try it out for free using my link in the description: https://milanote.com/monicarazak. Thanks to Milanote for sponsoring this video!
4. Start drafting sample products
    1. B-roll & vlog style content of sewing, drafting, & experimenting with product designs
5. Picking designs & perfecting them
    1. B-roll & vlog style content of putting together the cohesive products that fit the aesthetic that’s outline in my Milanote board
6. Start teasing products on social media
    1. B-roll & vlog style content of taking product photography & testing out product styles on social media
7. Outro
    1. Discuss how there is still work to be done but I’m confident that the fall collection looks amazing and will be out soon. Thank Milanote for sponsoring and mention the link my description.",,True,True,"Hey Monica, 

The script looks absolutely fantastic!! You have done a great job bringing forward Milanote's value and linking it to your own project. 

Feel free to get started on your draft video. Though you might already be familiar with these, here are some reminders for creating a great screen recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click in on the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Remember to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!! 

Best, Himika",1
4031,2024-08-11T13:52:21.831Z,13f8e2b8-277c-488d-b2e1-38e0cc28f7ba,Milanote,"Approved Draft Script With Feedback:
Hey Alex, 

The script looks awesome! You have again gone into a lot of detail which is amazing. 
Some minor feedback: 
- When you talk about collecting references on your Milanote board can you please talk about Milanote's web clipper tool (https://help.milanote.com/en/articles/1015930-milanote-web-clipper-for-chrome) and how it allows to add references to the board directly without having to copy paste. 
- As you go through the boards, can you please refer to the Milanote features you are using. 
- For your outro to the integration, can you please include: ""Milanote is available for free with no time limit. Sign up using the link in the description and start your next creative project.”

Happy for you to start your draft video. Though you might already be familiar with these, here are some reminders for creating a great screen recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click in on the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Remember to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!!

Best, Himika",4,https://docs.google.com/document/d/1-qsM-3szDtT7gxoPyvTp4Ewa1z9wSp5f7eH9pYuSYnw/edit,,True,True,"Hey Alex, 

The script looks awesome! You have again gone into a lot of detail which is amazing. 
Some minor feedback: 
- When you talk about collecting references on your Milanote board can you please talk about Milanote's web clipper tool (https://help.milanote.com/en/articles/1015930-milanote-web-clipper-for-chrome) and how it allows to add references to the board directly without having to copy paste. 
- As you go through the boards, can you please refer to the Milanote features you are using. 
- For your outro to the integration, can you please include: ""Milanote is available for free with no time limit. Sign up using the link in the description and start your next creative project.”

Happy for you to start your draft video. Though you might already be familiar with these, here are some reminders for creating a great screen recording: 
- Remember to show our animated logo on the screen right as you introduce Milanote. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click in on the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Remember to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!!

Best, Himika",1
4621,2024-08-30T06:59:28.649Z,148e923f-9dec-4919-8577-80ae6ce54607,Milanote,"Approved Draft Script With Feedback:
Hey Cameron, 

The script looks great and I am happy to approve it. Great work!!

Just one small note: where you say ""But don’t take my word for it, give Milanote a go for your next project and experience it for yourself!"" can you please add a line saying something along the lines of ""I have added a link for you in the description box"". It would help to have a CTA in the middle of the video as well. 

Other than that, I am happy for you to get started on your draft video. Here are some reminders for creating a great screen recording:
- Remember to show our animated logo on the screen right as you introduce Milanote.
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.

Also, a reminder to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!!

Best, 
Himika

",4,"Hi Himika

Thanks for the feedback on the board. I'll action that suggestion!

Here is a link to the script and you can see the Milanote Integration highlighted in purple. 

https://docs.google.com/document/d/19Q3On2R-nRe4F294OLo6tgjHME46RGZI/edit?usp=sharing&ouid=105931003926698653279&rtpof=true&sd=true

Looking forward to hearing from you. Thanks!

Regards,
Cameron",,True,True,"Hey Cameron, 

The script looks great and I am happy to approve it. Great work!!

Just one small note: where you say ""But don’t take my word for it, give Milanote a go for your next project and experience it for yourself!"" can you please add a line saying something along the lines of ""I have added a link for you in the description box"". It would help to have a CTA in the middle of the video as well. 

Other than that, I am happy for you to get started on your draft video. Here are some reminders for creating a great screen recording:
- Remember to show our animated logo on the screen right as you introduce Milanote.
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.

Also, a reminder to go back to the Creative Brief for more reference. Looking forward to seeing this come to life soon and thanks for all your amazing work so far!!

Best, 
Himika

",1
6101,2024-10-07T22:31:26.424Z,19b00514-d658-4903-a53c-ec8af593dc88,Milanote,Approved Draft Script,4,"Now why am I mentioning all this?

Because not only is it important to understand the context behind their next move, which may have turned the tides in their favor.

But it’s also important for YOU because a little more planning could have saved them from this entire debacle, and that goes for any of your projects too.

////////////////////////////

[60 SEC SPONSOR]
MILANOTE, yes the sponsor of this video who is paying my lovely rent, is my preferred way for planning while making games, coming up with ideas, and even writing the script for this video.

Milanote is the perfect visual tool for organizing any sort of creative project. It has boards where you can place anything from text, to images, to tables, and my favorite parts are sub-boards, so I can get lost in the infinite loop of my mind’s thoughts.

My favorite part is that I can easily invite my friend to my board and we can edit it in real-time, but it usually ends up in a drawing competition.

They have tons of templates that you can use to plan your projects
like this Brainstorming one where you can post your big brain inspiration images to come up with the perfect levels for your game.

Milanote has a great starting template for every step of the game development journey or really any project you do,

And once you've hashed out the idea, you can easily keep track of development milestones and your budget all in Milanote. 

There are an infinite amount of uses for this tool- it’s the one I use for almost everything and I highly recommend it for any creative project. You can sign up completely free with no subscription in the link down below.",,True,True,,1
